eventCode,teams
2019abca,1622,3250,2130,4334,4010,4191,4774,4627,5015,6200,6458,5078,6351,3216,1482,6701,6841,6188,6700,7889,3729,7843,7799,7173,4604,7706,7591,5725,5118,6041,5597,7277,7205,6179,6178,7246,4733,3527,4625
2019alhu,27,16,3959,234,364,4451,456,4265,2783,4965,4013,2556,1319,3792,1421,4533,63,6647,342,5410,6366,3814,1466,2815,5045,2183,547,7111,34,4924,4306,2973,3319,6404,6107,3139,442,7693,7525,7512,7484,7446,7428,7313,7072,6937,6157,5616,5058,5005,4764,538,4740,6145,5858,3843
2019arli,3937,2992,1939,3616,1723,5437,5006,2164,2080,4087,6886,3039,1982,6055,323,6131,5526,4603,4576,3011,5809,3337,2221,6107,5729,5568,6492,6404,7123,6186,5002,7260,6586,7908,7896,7878,7868,7846,7842,7804,7798,7767,7766,7702,7655,7568,7483,7467,7459,7430,7075,6855,6840,5454,3946,7255,7106,6640,2357,7263
2019ausc,4613,4253,5985,3132,6579,4774,5449,6996,6510,6434,5451,6191,6050,7278,5593,5516,3881,4817,7023,6525,7780,7719,7644,6520,6083,7641,7636,7632,7593,7583,7527,7526,7523,7433,6986,6734,4614,7163,5564,4801,4802,7130,7128,7124,5308
2019ausp,5985,5584,6579,5663,3132,6508,4774,5449,4537,6996,5522,6510,6386,7074,6813,5451,6063,6432,2437,6304,5988,5593,5516,4270,6524,6476,4729,6441,5333,5648,7884,7844,7838,7779,6083,7741,7734,7733,7719,7709,7707,7601,7593,7588,7586,7561,7551,7433,7146,7129,6997,6986,6575,6520,6393,6035,6007,5876,4739,4802,7113,5308,5983
2019azfl,118,1622,2486,2478,842,4063,2403,1011,1726,294,1339,3230,1492,4146,687,6474,4183,3853,670,6411,5496,498,3019,60,3187,1828,991,1138,4565,6413,5429,3009,2240,1891,6824,6546,3577,7214,6922,6871,6585,5059,996,7897,7620,7547,7426,7424,6674,6656,6372,6127,5133,3133,5678,6821,5539,2840
2019azpx,2478,2403,4146,1492,4183,3853,3019,4565,1662,3187,6352,6479,2662,2449,6530,6413,6833,3577,2647,698,7214,1212,5465,4496,1165,6674,1633,1290,7755,7703,6656,3944,7620,7547,3889,3133,2840,7017,6748,6372,4111,2844
2019bcvi,2122,359,846,4334,6390,4775,4627,2594,4501,2438,6458,7287,1482,7169,6364,6351,7190,7135,7158,1452,7805,7796,7787,7781,6485,7688,7498,7173,7159,6719,6486,5597,5118,7170,6408,7167,4083,4625
2019caav,399,1538,3476,5012,968,980,2659,2073,702,2658,2637,5124,6072,3953,589,4014,6417,2584,4160,2493,691,6957,6668,4123,5857,4913,2429,7778,7185,6436,7633,7607,7453,6060,2404,1649,5869,2339
2019cada,1678,1323,3250,973,3880,6474,701,3598,3970,5496,5458,4135,4904,1072,2839,5507,5480,4698,2141,2085,5940,6305,3859,2204,1458,5419,3482,3189,4643,100,6174,5274,199,6358,2367,7137,2551,7870,7802,7663,7529,6981,6926,6644,6612,6238,5875,5250,3615,3257,3013,1056,6918,6883,6657,6619,7229,6662,5871,5430,3669
2019cadm,399,3255,3256,2102,4415,192,4984,8,4738,5137,2543,1661,585,5526,114,3021,5059,7137,6885,1159,7426,6402,6948,6918,4414,2945,5474
2019cafr,1678,1323,5817,1671,5026,701,3970,4135,5458,1662,1072,5102,4698,3495,1388,3303,5104,2085,6305,1967,1351,1280,5461,2854,2135,3189,751,5134,1422,5274,2813,2489,6657,7663,7589,7524,6981,6926,6884,6711,6506,6241,5852,3669,3257,766,5728,7229,7057,6804
